price,quantity,type,timestamp
37488000,0.0263,0,2023-05-08 16:56:32
37486000,0.0229,0,2023-05-08 16:56:32
37484000,0.08,0,2023-05-08 16:56:32
37480000,0.5329,0,2023-05-08 16:56:32
37477000,1.3099,0,2023-05-08 16:56:32
37496000,0.088,1,2023-05-08 16:56:32
37497000,0.0846,1,2023-05-08 16:56:32
37499000,0.0524,1,2023-05-08 16:56:32
37500000,0.2535,1,2023-05-08 16:56:32
37501000,0.1537,1,2023-05-08 16:56:32
price,quantity,type,timestamp
37486000,0.0229,0,2023-05-08 16:56:35
37484000,0.08,0,2023-05-08 16:56:35
37480000,0.5329,0,2023-05-08 16:56:35
37477000,1.3099,0,2023-05-08 16:56:35
37476000,1.302,0,2023-05-08 16:56:35
37488000,0.0913,1,2023-05-08 16:56:35
37496000,0.088,1,2023-05-08 16:56:35
37497000,0.0846,1,2023-05-08 16:56:35
37499000,0.0524,1,2023-05-08 16:56:35
37500000,0.2535,1,2023-05-08 16:56:35
price,quantity,type,timestamp
37495000,0.0415,0,2023-05-08 16:56:37
37487000,0.0214,0,2023-05-08 16:56:37
37486000,0.077,0,2023-05-08 16:56:37
37485000,0.5328,0,2023-05-08 16:56:37
37484000,0.08,0,2023-05-08 16:56:37
37496000,0.0816,1,2023-05-08 16:56:37
37499000,0.0471,1,2023-05-08 16:56:37
37500000,0.2535,1,2023-05-08 16:56:37
37501000,0.0892,1,2023-05-08 16:56:37
37502000,0.0593,1,2023-05-08 16:56:37
price,quantity,type,timestamp
37495000,0.0415,0,2023-05-08 16:56:39
37490000,0.5328,0,2023-05-08 16:56:39
37489000,0.0278,0,2023-05-08 16:56:39
37488000,1.302,0,2023-05-08 16:56:39
37487000,0.0214,0,2023-05-08 16:56:39
37496000,0.0745,1,2023-05-08 16:56:39
37500000,0.2535,1,2023-05-08 16:56:39
37504000,0.0863,1,2023-05-08 16:56:39
37506000,0.0151,1,2023-05-08 16:56:39
37507000,0.0497,1,2023-05-08 16:56:39
price,quantity,type,timestamp
37496000,1.2388,0,2023-05-08 16:56:41
37489000,0.0278,0,2023-05-08 16:56:41
37487000,0.0214,0,2023-05-08 16:56:41
37486000,0.077,0,2023-05-08 16:56:41
37485000,0.0052,0,2023-05-08 16:56:41
37500000,0.2535,1,2023-05-08 16:56:41
37504000,0.0863,1,2023-05-08 16:56:41
37506000,0.0151,1,2023-05-08 16:56:41
37507000,0.0497,1,2023-05-08 16:56:41
37508000,0.0636,1,2023-05-08 16:56:41
price,quantity,type,timestamp
37496000,1.2385,0,2023-05-08 16:56:43
37491000,0.5328,0,2023-05-08 16:56:43
37489000,0.0278,0,2023-05-08 16:56:43
37487000,0.0214,0,2023-05-08 16:56:43
37486000,0.077,0,2023-05-08 16:56:43
37500000,0.2464,1,2023-05-08 16:56:43
37506000,0.1045,1,2023-05-08 16:56:43
37507000,0.0497,1,2023-05-08 16:56:43
37508000,0.0636,1,2023-05-08 16:56:43
37512000,0.14,1,2023-05-08 16:56:43
price,quantity,type,timestamp
37496000,0.3726,0,2023-05-08 16:56:44
37495000,0.5328,0,2023-05-08 16:56:44
37489000,0.0278,0,2023-05-08 16:56:44
37487000,0.0214,0,2023-05-08 16:56:44
37486000,0.077,0,2023-05-08 16:56:44
37500000,0.2464,1,2023-05-08 16:56:44
37506000,0.1045,1,2023-05-08 16:56:44
37507000,0.0497,1,2023-05-08 16:56:44
37508000,0.0636,1,2023-05-08 16:56:44
37512000,0.14,1,2023-05-08 16:56:44
price,quantity,type,timestamp
37496000,0.1341,0,2023-05-08 16:56:46
37495000,0.5328,0,2023-05-08 16:56:46
37492000,1.302,0,2023-05-08 16:56:46
37489000,0.0278,0,2023-05-08 16:56:46
37487000,0.0214,0,2023-05-08 16:56:46
37500000,0.2393,1,2023-05-08 16:56:46
37506000,0.1045,1,2023-05-08 16:56:46
37507000,0.0497,1,2023-05-08 16:56:46
37508000,0.0636,1,2023-05-08 16:56:46
37512000,0.14,1,2023-05-08 16:56:46
price,quantity,type,timestamp
37496000,0.1216,0,2023-05-08 16:56:48
37495000,0.5328,0,2023-05-08 16:56:48
37492000,1.302,0,2023-05-08 16:56:48
37489000,0.0278,0,2023-05-08 16:56:48
37487000,0.0214,0,2023-05-08 16:56:48
37500000,0.2322,1,2023-05-08 16:56:48
37506000,0.1045,1,2023-05-08 16:56:48
37507000,0.0497,1,2023-05-08 16:56:48
37508000,0.0636,1,2023-05-08 16:56:48
37512000,0.14,1,2023-05-08 16:56:48
price,quantity,type,timestamp
37497000,0.5328,0,2023-05-08 16:56:50
37496000,0.1695,0,2023-05-08 16:56:50
37492000,1.302,0,2023-05-08 16:56:50
37489000,0.033,0,2023-05-08 16:56:50
37487000,0.0214,0,2023-05-08 16:56:50
37500000,0.0819,1,2023-05-08 16:56:50
37512000,0.0847,1,2023-05-08 16:56:50
37514000,0.016,1,2023-05-08 16:56:50
37515000,0.0047,1,2023-05-08 16:56:50
37516000,0.0577,1,2023-05-08 16:56:50
price,quantity,type,timestamp
37497000,0.5606,0,2023-05-08 16:56:52
37496000,0.1722,0,2023-05-08 16:56:52
37492000,1.302,0,2023-05-08 16:56:52
37489000,0.0052,0,2023-05-08 16:56:52
37487000,0.0214,0,2023-05-08 16:56:52
37500000,0.0659,1,2023-05-08 16:56:52
37509000,0.088,1,2023-05-08 16:56:52
37512000,0.0847,1,2023-05-08 16:56:52
37514000,0.016,1,2023-05-08 16:56:52
37515000,0.0047,1,2023-05-08 16:56:52
price,quantity,type,timestamp
37507000,0.0412,0,2023-05-08 16:56:55
37500000,1.302,0,2023-05-08 16:56:55
37497000,0.033,0,2023-05-08 16:56:55
37496000,0.1722,0,2023-05-08 16:56:55
37487000,0.0214,0,2023-05-08 16:56:55
37515000,0.0047,1,2023-05-08 16:56:55
37516000,0.0885,1,2023-05-08 16:56:55
37519000,0.0574,1,2023-05-08 16:56:55
37520000,0.0494,1,2023-05-08 16:56:55
37523000,0.1968,1,2023-05-08 16:56:55
price,quantity,type,timestamp
37508000,0.5328,0,2023-05-08 16:56:57
37507000,0.0412,0,2023-05-08 16:56:57
37500000,1.302,0,2023-05-08 16:56:57
37497000,1.3298,0,2023-05-08 16:56:57
37496000,0.1722,0,2023-05-08 16:56:57
37519000,0.1422,1,2023-05-08 16:56:57
37520000,0.0494,1,2023-05-08 16:56:57
37523000,0.1968,1,2023-05-08 16:56:57
37524000,0.1427,1,2023-05-08 16:56:57
37526000,0.0577,1,2023-05-08 16:56:57
price,quantity,type,timestamp
37508000,0.5328,0,2023-05-08 16:56:59
37500000,1.302,0,2023-05-08 16:56:59
37497000,1.3298,0,2023-05-08 16:56:59
37496000,0.0506,0,2023-05-08 16:56:59
37487000,0.0214,0,2023-05-08 16:56:59
37519000,0.1298,1,2023-05-08 16:56:59
